name,mfr,type,calories,protein,fat,carbo,vitamins,weight,cups
100% Bran,N,C,70,4,1,5,25,1,0.33
100% Natural Bran,Q,C,120,3,5,8,0,1,1
All-Bran,K,C,70,4,1,7,25,1,0.33
All-Bran with Extra Fiber,K,C,50,4,0,8,25,1,0.5
Almond Delight,R,C,110,2,2,14,25,1,0.75
Apple Cinnamon Cheerios,G,C,110,2,2,10.5,25,1,0.75
Apple Jacks,K,C,110,2,0,11,25,1,1
Basic 4,G,C,130,3,2,18,25,1.33,0.75
Bran Chex,R,C,90,2,1,15,25,1,0.67
Bran Flakes,P,C,90,3,0,13,25,1,0.67
Cap'n'Crunch,Q,C,120,1,2,12,25,1,0.75
Cheerios,G,C,110,6,2,17,25,1,1.25
Cinnamon Toast Crunch,G,C,120,1,3,13,25,1,0.75
Clusters,G,C,110,3,2,13,25,1,0.5
Cocoa Puffs,G,C,110,1,1,12,25,1,1
Corn Chex,R,C,110,2,0,22,25,1,1
Corn Flakes,K,C,100,2,0,21,25,1,1
Corn Pops,K,C,110,1,0,13,25,1,1
Count Chocula,G,C,110,1,1,12,25,1,1
Cracklin' Oat Bran,K,C,110,3,3,10,25,1,0.5
Cream of Wheat (Quick),N,H,100,3,0,21,0,1,1
Crispix,K,C,110,2,0,21,25,1,1
Crispy Wheat & Raisins,G,C,100,2,1,11,25,1,0.75
Double Chex,R,C,100,2,0,18,25,1,0.75
Froot Loops,K,C,110,2,1,11,25,1,1
Frosted Flakes,K,C,110,1,0,14,25,1,0.75
Frosted Mini-Wheats,K,C,100,3,0,14,25,1,0.8
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,12,25,1.25,0.67
Fruitful Bran,K,C,120,3,0,14,25,1.33,0.67
Fruity Pebbles,P,C,110,1,1,13,25,1,0.75
Golden Crisp,P,C,100,2,0,11,25,1,0.88
Golden Grahams,G,C,110,1,1,15,25,1,0.75
Grape Nuts Flakes,P,C,100,3,1,15,25,1,0.88
Grape-Nuts,P,C,110,3,0,17,25,1,0.25
Great Grains Pecan,P,C,120,3,3,13,25,1,0.33
Honey Graham Ohs,Q,C,120,1,2,12,25,1,1
Honey Nut Cheerios,G,C,110,3,1,11.5,25,1,0.75
Honey-comb,P,C,110,1,0,14,25,1,1.33
Just Right Crunchy  Nuggets,K,C,110,2,1,17,100,1,1
Just Right Fruit & Nut,K,C,140,3,1,20,100,1.3,0.75
Kix,G,C,110,2,1,21,25,1,1.5
Life,Q,C,100,4,2,12,25,1,0.67
Lucky Charms,G,C,110,2,1,12,25,1,1
Maypo,A,H,100,4,1,16,25,1,1
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,16,25,1,1
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,16,25,1,1
Mueslix Crispy Blend,K,C,160,3,2,17,25,1.5,0.67
Multi-Grain Cheerios,G,C,100,2,1,15,25,1,1
Nut&Honey Crunch,K,C,120,2,1,15,25,1,0.67
Nutri-Grain Almond-Raisin,K,C,140,3,2,21,25,1.33,0.67
